key_id,key,operation,pX,pY,LR,state,delta,time_diff,time_since_beginning,press_to_press,release_to_press,hold_time
4,1,1,0,0,0,1,0,0,0,0,0,117
5,p,1,0,0,0,1,0,0,0,0,0,99
6,a,1,0,0,0,1,0,0,0,0,0,92
7,s,1,0,0,0,1,0,0,0,0,0,59
8,s,1,0,0,0,1,0,0,0,0,0,84
9,w,1,0,0,0,1,0,0,0,0,0,108
10,o,1,0,0,0,1,0,0,0,0,0,84
11,r,1,0,0,0,1,0,0,0,0,0,84
12,d,1,0,0,0,1,0,0,0,0,0,118
13,1,1,0,0,0,1,0,0,0,0,0,108
14,2,1,0,0,0,1,0,0,0,0,0,84
15,3,1,0,0,0,1,0,0,0,0,0,91
1,u,1,0,0,0,1,0,0,0,0,0,92
2,s,1,0,0,0,1,0,0,0,0,0,92
3,e,1,0,0,0,1,0,0,0,0,0,92
4,r,1,0,0,0,1,0,0,0,0,0,92
5,1,1,0,0,0,1,0,0,0,0,0,160
6,p,1,0,0,0,1,0,0,0,0,0,116
7,a,1,0,0,0,1,0,0,0,0,0,99
8,s,1,0,0,0,1,0,0,0,0,0,82
9,s,1,0,0,0,1,0,0,0,0,0,110
10,w,1,0,0,0,1,0,0,0,0,0,118
11,o,1,0,0,0,1,0,0,0,0,0,93
12,r,1,0,0,0,1,0,0,0,0,0,92
13,d,1,0,0,0,1,0,0,0,0,0,116
14,1,1,0,0,0,1,0,0,0,0,0,100
15,2,1,0,0,0,1,0,0,0,0,0,108
16,3,1,0,0,0,1,0,0,0,0,0,93
1,u,1,0,0,0,1,0,0,0,0,0,87
2,s,1,0,0,0,1,0,0,0,0,0,176
3,r,1,0,0,0,1,0,0,0,0,0,109
4,1,1,0,0,0,1,0,0,0,0,0,125
5,p,1,0,0,0,1,0,0,0,0,0,109
6,a,1,0,0,0,1,0,0,0,0,0,109
7,s,1,0,0,0,1,0,0,0,0,0,84
8,s,1,0,0,0,1,0,0,0,0,0,92
9,w,1,0,0,0,1,0,0,0,0,0,101
10,o,1,0,0,0,1,0,0,0,0,0,107
11,r,1,0,0,0,1,0,0,0,0,0,93
12,d,1,0,0,0,1,0,0,0,0,0,101
13,1,1,0,0,0,1,0,0,0,0,0,107
14,2,1,0,0,0,1,0,0,0,0,0,41
